ID,X,Y,V,eV,VI,eVI,MP,sel
371,428.6,474.6,24.227,0.006,1.093,0.008,1.0,1
317,412.6,363.8,24.257,0.006,0.684,0.009,1.0,1
598,499.3,381.7,24.261,0.006,0.991,0.009,1.0,1
416,440.4,509.1,24.289,0.006,1.045,0.009,1.0,1
197,375.5,451.8,24.304,0.006,1.085,0.009,1.0,1
428,443.1,390.4,24.309,0.006,0.834,0.009,1.0,1
405,436.9,385.5,24.313,0.006,1.006,0.009,1.0,1
128,346.7,418.1,24.318,0.006,1.047,0.009,1.0,1
506,466.2,411.9,24.327,0.006,1.115,0.008,1.0,1
310,411.7,369.5,24.334,0.006,1.115,0.009,1.0,1
465,454.9,531.0,24.359,0.006,0.919,0.009,1.0,1
441,449.0,446.3,24.367,0.006,0.856,0.009,1.0,1
573,488.6,509.1,24.373,0.006,1.027,0.009,1.0,1
237,387.4,439.3,24.392,0.006,1.07,0.009,1.0,1
406,437.4,490.5,24.399,0.006,0.893,0.009,1.0,1
260,394.8,413.0,24.401,0.006,0.859,0.009,1.0,1
179,369.4,417.4,24.412,0.006,1.033,0.009,1.0,1
325,415.7,450.7,24.414,0.006,0.996,0.009,1.0,1
287,404.9,510.3,24.441,0.006,0.54,0.01,1.0,1
167,364.8,506.4,24.458,0.006,1.087,0.009,1.0,1
51,308.7,461.9,24.47,0.006,1.159,0.009,1.0,1
601,500.1,351.4,24.476,0.006,0.952,0.009,1.0,1
75,320.9,393.3,24.488,0.006,-0.491,0.014,1.0,1
557,482.8,480.6,24.492,0.006,0.967,0.009,1.0,1
492,460.5,432.6,24.522,0.006,0.09,0.011,1.0,1
285,404.3,385.2,24.544,0.006,0.987,0.009,1.0,1
57,311.8,508.2,24.548,0.006,0.901,0.009,1.0,1
141,352.8,545.7,24.553,0.006,1.042,0.009,1.0,1
309,411.5,516.5,24.577,0.006,1.068,0.009,1.0,1
673,524.2,459.9,24.589,0.006,1.006,0.009,1.0,1
315,412.3,404.5,24.596,0.006,0.774,0.009,1.0,1
466,455.4,478.1,24.602,0.006,0.816,0.009,1.0,1
301,409.8,492.8,24.612,0.006,1.093,0.009,1.0,1
661,521.0,460.0,24.619,0.006,0.747,0.01,1.0,1
518,469.7,413.1,24.636,0.006,0.363,0.011,1.0,1
275,400.7,456.5,24.653,0.006,0.881,0.009,1.0,1
2,282.8,276.0,24.657,0.006,1.061,0.009,1.0,1
794,587.5,386.5,24.661,0.006,-0.101,0.013,1.0,1
524,471.7,328.6,24.677,0.006,1.104,0.009,1.0,1
569,486.3,330.5,24.679,0.006,1.0,0.009,1.0,1
232,385.7,407.9,24.694,0.006,0.679,0.01,1.0,1
497,463.1,501.5,24.694,0.006,0.813,0.01,1.0,1
313,412.0,400.2,24.716,0.006,1.219,0.009,1.0,1
361,425.9,371.1,24.72,0.006,1.109,0.009,1.0,1
512,467.9,416.2,24.722,0.006,0.418,0.011,1.0,1
402,436.3,448.5,24.728,0.006,0.066,0.012,1.0,1
513,468.5,440.7,24.756,0.006,0.139,0.012,1.0,1
319,413.3,395.5,24.762,0.006,0.893,0.009,1.0,1
585,494.4,402.7,24.769,0.006,0.768,0.01,1.0,1
311,411.9,431.9,24.774,0.006,1.214,0.009,1.0,1
604,501.9,509.6,24.802,0.007,0.856,0.011,1.0,1
93,329.1,385.1,24.808,0.007,0.924,0.011,1.0,1
565,485.7,357.5,24.824,0.007,0.8,0.011,1.0,1
498,463.9,403.7,24.829,0.007,0.337,0.012,1.0,1
270,398.1,386.7,24.835,0.007,0.857,0.011,1.0,1
612,503.1,431.7,24.847,0.007,1.008,0.01,1.0,1
297,409.0,460.4,24.855,0.007,1.023,0.01,1.0,1
278,401.3,393.8,24.864,0.007,1.023,0.01,1.0,1
420,441.1,481.4,24.883,0.007,0.656,0.011,1.0,1
323,415.0,379.8,24.889,0.007,0.319,0.012,1.0,1
212,379.4,406.4,24.899,0.007,1.047,0.01,1.0,1
419,441.1,451.1,24.899,0.007,0.593,0.011,1.0,1
491,460.5,407.3,24.906,0.007,0.883,0.011,1.0,1
579,491.5,377.0,24.913,0.007,0.936,0.011,1.0,1
329,417.0,446.5,24.932,0.007,0.427,0.012,1.0,1
123,342.8,425.8,24.934,0.007,1.102,0.01,1.0,1
552,481.1,504.9,24.936,0.007,0.942,0.011,1.0,1
294,408.4,358.3,24.948,0.007,1.009,0.011,1.0,1
623,505.7,300.5,24.952,0.007,1.204,0.01,1.0,1
289,405.1,483.6,24.955,0.007,0.978,0.011,1.0,1
618,504.6,356.0,24.956,0.007,0.906,0.011,1.0,1
572,488.3,439.8,24.965,0.007,0.857,0.011,1.0,1
16,292.0,495.3,24.969,0.007,0.92,0.011,1.0,1
515,469.1,536.8,24.973,0.007,0.98,0.011,1.0,1
529,472.7,477.9,24.984,0.007,0.613,0.011,1.0,1
481,459.6,382.9,24.988,0.007,0.612,0.011,1.0,1
228,384.5,435.5,24.992,0.007,0.083,0.014,1.0,1
758,571.1,545.4,25.001,0.007,1.084,0.011,1.0,1
523,471.3,333.8,25.007,0.007,0.358,0.013,1.0,1
493,461.3,512.9,25.016,0.007,1.009,0.011,1.0,1
398,435.4,456.6,25.018,0.007,1.072,0.011,1.0,1
362,426.7,349.3,25.021,0.007,0.932,0.011,1.0,1
196,375.5,425.5,25.041,0.007,0.665,0.011,1.0,1
369,428.1,491.2,25.052,0.007,0.854,0.011,1.0,1
530,472.9,441.3,25.052,0.007,0.654,0.011,1.0,1
422,442.1,454.8,25.062,0.007,1.185,0.01,1.0,1
431,445.0,507.0,25.068,0.007,0.953,0.011,1.0,1
558,483.3,396.5,25.069,0.007,1.084,0.011,1.0,1
13,289.9,308.0,25.072,0.007,0.352,0.013,1.0,1
318,412.7,455.1,25.081,0.007,1.213,0.01,1.0,1
587,495.1,419.5,25.089,0.007,1.007,0.011,1.0,1
658,519.9,412.2,25.092,0.008,1.051,0.011,1.0,1
