#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      25.0549 1.0022  0.0081  0.0145  0.7481  
11      23.4412 1.1004  0.0050  0.0076  0.7504  
12      25.7256 0.2581  0.0118  0.0217  0.7486  
13      25.5105 0.7685  0.0103  0.0189  0.7501  
14      25.6161 0.6625  0.0109  0.0200  0.7499  
15      25.5992 0.9351  0.0110  0.0201  0.7478  
16      22.5521 1.4286  0.0045  0.0063  0.7486  
17      24.9867 1.0037  0.0078  0.0140  0.7481  
18      25.3429 0.8177  0.0094  0.0172  0.7502  
19      25.0443 1.0079  0.0080  0.0144  0.7481  
110     25.7215 0.3081  0.0116  0.0213  0.7490  
111     25.7216 0.2974  0.0117  0.0215  0.7487  
112     25.6092 0.5081  0.0110  0.0201  0.7497  
113     24.3855 1.0419  0.0062  0.0105  0.7483  
114     22.9120 1.3243  0.0047  0.0067  0.7485  
115     24.8996 0.9919  0.0076  0.0135  0.7481  
116     25.6999 0.3208  0.0114  0.0210  0.7492  
117     25.6048 0.4421  0.0110  0.0202  0.7496  
118     25.3488 0.9503  0.0095  0.0173  0.7479  
119     25.6017 0.9396  0.0110  0.0201  0.7478  
120     24.9529 1.0148  0.0077  0.0137  0.7481  
121     25.7044 0.2696  0.0116  0.0214  0.7489  
122     23.2376 1.1623  0.0048  0.0072  0.7504  
123     24.8762 0.9289  0.0075  0.0133  0.7502  
124     25.2748 0.9689  0.0091  0.0165  0.7480  
125     24.2662 1.0232  0.0060  0.0100  0.7503  
126     25.7047 0.2702  0.0116  0.0214  0.7489  
127     25.5164 0.7233  0.0104  0.0191  0.7501  
128     25.9445 0.8975  0.0138  0.0253  0.7475  
129     24.8856 0.9912  0.0075  0.0134  0.7481  
130     25.5764 0.6376  0.0108  0.0199  0.7499  
131     24.1713 1.0073  0.0058  0.0097  0.7503  
132     25.6174 0.3067  0.0112  0.0205  0.7494  
133     23.2830 1.1350  0.0049  0.0073  0.7504  
134     25.5909 0.6930  0.0108  0.0198  0.7500  
135     24.7981 0.9908  0.0073  0.0128  0.7482  
136     24.7007 0.9608  0.0069  0.0121  0.7502  
137     24.5819 1.0498  0.0066  0.0114  0.7483  
138     25.5961 0.6296  0.0109  0.0200  0.7499  
