ID X   Y     V      eV    VI    eVI
194 373.7 368.6 25.530 0.010 0.633 0.016
195 375.3 381.7 27.969 0.074 0.399 0.144
196 375.5 425.5 25.041 0.007 0.665 0.011
197 375.5 451.8 24.304 0.006 1.085 0.009
198 376.0 286.0 26.746 0.025 0.714 0.040
199 376.5 352.4 27.271 0.040 0.057 0.099
200 377.1 446.3 25.351 0.009 0.643 0.014
201 377.3 360.3 27.575 0.052 0.842 0.079
202 377.3 420.3 25.529 0.010 0.811 0.015
203 377.4 296.7 25.422 0.009 0.524 0.016
204 377.5 289.3 27.275 0.040 0.655 0.066
205 377.5 545.3 28.111 0.084 0.611 0.145
206 377.6 484.0 27.467 0.047 0.451 0.089
207 377.8 412.3 27.018 0.032 0.763 0.050
208 377.9 304.9 25.462 0.009 0.995 0.013
209 377.9 384.3 27.433 0.045 0.478 0.084
210 378.0 440.1 25.435 0.009 0.138 0.019
211 378.0 519.9 25.134 0.008 0.288 0.014
212 379.4 406.4 24.899 0.007 1.047 0.010
213 379.6 347.7 25.715 0.011 0.660 0.018
214 380.0 422.9 26.712 0.024 1.105 0.033
215 380.4 398.3 25.101 0.008 0.928 0.011
216 380.8 366.4 25.905 0.013 0.926 0.018
217 381.6 352.4 25.272 0.008 0.774 0.013
218 381.9 468.3 28.285 0.097 1.274 0.123
219 381.9 477.8 27.439 0.046 0.791 0.072
220 382.1 386.5 25.773 0.011 -0.189 0.030
221 382.1 445.1 26.414 0.019 0.660 0.031
222 382.3 323.8 24.019 0.005 1.137 0.008
223 383.0 532.8 27.948 0.073 0.464 0.137
224 383.6 403.6 23.710 0.005 1.410 0.008
225 384.4 315.4 26.371 0.018 0.490 0.033
226 384.4 379.1 23.695 0.005 1.182 0.008
227 384.5 332.2 28.398 0.109 1.053 0.150
228 384.5 435.5 24.992 0.007 0.083 0.014
229 384.6 305.9 25.382 0.009 0.717 0.014
230 384.7 544.3 27.410 0.045 1.113 0.060
231 385.4 396.6 25.951 0.013 0.758 0.021
232 385.7 407.9 24.694 0.006 0.679 0.010
233 385.9 388.2 26.897 0.028 0.780 0.044
234 386.1 328.8 27.214 0.037 0.794 0.057
235 387.0 481.3 27.713 0.058 0.547 0.104
236 387.3 342.0 22.633 0.005 1.371 0.008
237 387.4 439.3 24.392 0.006 1.070 0.009
238 387.5 350.7 25.411 0.009 0.733 0.014
239 387.5 511.4 28.041 0.080 0.787 0.124
240 387.6 548.1 25.623 0.010 0.827 0.016
241 387.9 312.5 27.834 0.064 0.321 0.132
242 389.3 433.7 23.698 0.005 1.148 0.008
243 389.4 403.5 25.396 0.009 0.815 0.013
244 389.5 321.4 27.907 0.070 0.803 0.108
245 390.4 492.1 27.253 0.038 0.121 0.090
246 390.5 329.9 25.694 0.010 -1.616 0.084
