ID X   Y     V      eV    VI    eVI
534 474.5 352.3 26.710 0.024 0.555 0.042
535 474.7 292.1 27.895 0.069 0.687 0.113
536 475.3 431.5 23.145 0.005 1.485 0.008
537 475.6 405.3 26.615 0.022 0.491 0.040
538 476.2 400.4 26.614 0.022 0.815 0.034
539 476.3 409.7 25.354 0.008 0.507 0.014
540 476.6 414.8 25.913 0.012 0.620 0.021
541 477.1 491.6 26.134 0.015 0.983 0.021
542 477.7 462.1 25.206 0.008 0.820 0.012
543 478.3 479.6 25.522 0.010 0.191 0.020
544 478.6 403.3 27.816 0.063 0.299 0.133
545 478.6 295.6 25.314 0.009 0.809 0.013
546 478.7 336.4 25.192 0.008 0.846 0.012
547 479.0 517.8 25.336 0.009 0.852 0.013
548 479.3 388.5 26.976 0.030 0.547 0.054
549 480.6 351.1 27.371 0.042 -0.063 0.115
550 480.8 368.4 27.294 0.039 0.149 0.093
551 481.0 489.1 27.562 0.050 -0.116 0.143
552 481.1 504.9 24.936 0.007 0.942 0.011
553 481.6 511.4 27.714 0.058 0.035 0.147
554 481.9 445.4 25.862 0.012 0.002 0.029
555 482.5 301.3 26.699 0.024 0.723 0.038
556 482.7 426.7 23.637 0.005 1.130 0.008
557 482.8 480.6 24.492 0.006 0.967 0.009
558 483.3 396.5 25.069 0.007 1.084 0.011
559 483.7 456.1 25.168 0.008 1.000 0.011
560 483.7 547.2 25.496 0.010 0.873 0.015
561 483.9 393.4 25.400 0.009 0.246 0.017
562 483.9 469.1 25.682 0.011 0.884 0.016
563 484.0 312.5 27.988 0.074 0.408 0.145
564 485.4 475.1 25.949 0.013 0.821 0.020
565 485.7 357.5 24.824 0.007 0.800 0.011
566 486.0 365.7 25.655 0.010 0.790 0.016
567 486.1 420.6 25.372 0.009 0.176 0.018
568 486.3 316.5 27.376 0.045 1.001 0.063
569 486.3 330.5 24.679 0.006 1.000 0.009
570 487.8 384.5 27.601 0.053 0.728 0.085
571 488.1 337.0 26.484 0.020 0.830 0.030
572 488.3 439.8 24.965 0.007 0.857 0.011
573 488.6 509.1 24.373 0.006 1.027 0.009
574 489.4 489.3 27.532 0.050 0.543 0.090
575 489.5 494.3 27.040 0.032 0.545 0.058
576 490.4 338.6 27.047 0.032 0.770 0.050
577 490.7 457.6 23.846 0.005 1.150 0.008
578 490.9 487.2 26.876 0.028 0.712 0.045
579 491.5 377.0 24.913 0.007 0.936 0.011
580 491.5 496.4 27.628 0.055 0.621 0.095
581 491.6 535.8 27.182 0.037 0.867 0.055
582 491.7 287.2 26.096 0.015 1.129 0.021
583 492.2 306.3 27.766 0.061 0.584 0.106
584 493.8 481.0 27.764 0.061 0.681 0.101
585 494.4 402.7 24.769 0.006 0.768 0.010
586 494.5 429.3 25.790 0.011 0.959 0.016
587 495.1 419.5 25.089 0.007 1.007 0.011
588 495.5 477.7 27.048 0.033 0.630 0.056
589 495.9 353.3 25.640 0.010 0.902 0.015
590 496.5 431.4 25.258 0.008 0.498 0.014
591 496.7 368.1 25.521 0.009 -0.019 0.022
592 496.7 510.5 25.471 0.009 0.164 0.019
593 496.8 411.9 26.922 0.029 0.945 0.042
594 497.7 458.0 25.442 0.009 1.100 0.013
595 497.7 504.9 25.442 0.009 0.208 0.018
596 498.6 408.0 25.448 0.009 -0.020 0.021
597 499.2 332.9 27.645 0.055 0.848 0.083
598 499.3 381.7 24.261 0.006 0.991 0.009
599 499.8 363.7 27.992 0.075 0.746 0.119
600 499.8 415.9 26.393 0.018 0.561 0.032
601 500.1 351.4 24.476 0.006 0.952 0.009
602 500.5 301.5 27.664 0.056 1.090 0.076
603 501.9 464.6 28.118 0.086 1.179 0.112
604 501.9 509.6 24.802 0.007 0.856 0.011
605 502.0 545.8 25.337 0.009 0.756 0.013
606 502.2 314.4 27.970 0.072 2.039 0.077
607 502.3 394.1 26.326 0.018 0.981 0.025
608 502.3 523.9 26.932 0.029 0.321 0.060
609 502.4 323.9 28.165 0.089 0.975 0.126
610 502.9 388.5 25.442 0.009 0.918 0.013
611 503.0 481.4 25.739 0.011 0.951 0.016
612 503.1 431.7 24.847 0.007 1.008 0.010
613 503.2 343.3 27.468 0.047 0.939 0.068
614 503.8 333.7 27.991 0.075 0.943 0.108
615 504.1 408.9 27.835 0.066 0.693 0.108
616 504.4 311.1 27.989 0.075 1.465 0.090
617 504.5 445.9 27.458 0.046 0.042 0.116
618 504.6 356.0 24.956 0.007 0.906 0.011
619 504.8 465.8 26.521 0.019 -0.821 0.096
620 505.6 371.7 27.740 0.059 0.118 0.141
621 505.6 435.5 25.234 0.008 0.017 0.018
622 505.6 540.7 27.969 0.074 0.952 0.107
623 505.7 300.5 24.952 0.007 1.204 0.010
624 507.0 388.9 25.144 0.008 0.944 0.012
625 507.1 469.2 27.309 0.041 1.212 0.053
626 507.2 317.7 25.204 0.008 0.436 0.014
627 507.3 309.4 28.434 0.114 1.127 0.152
628 507.7 406.4 26.836 0.027 0.918 0.040
629 507.8 413.8 27.675 0.056 0.237 0.124
630 509.3 493.4 25.748 0.011 0.689 0.018
631 510.0 436.8 27.212 0.037 -0.026 0.097
632 510.5 523.9 27.434 0.044 -0.347 0.152
633 510.8 440.0 26.657 0.021 -1.007 0.125
634 511.4 358.3 27.041 0.032 0.342 0.064
635 512.1 417.5 25.504 0.010 0.791 0.015
636 512.1 504.0 26.563 0.022 0.829 0.033
637 512.5 408.1 26.435 0.019 0.811 0.029
638 512.5 508.4 26.950 0.030 0.235 0.064
639 512.6 276.0 25.288 0.008 -0.242 0.022
640 512.6 499.7 27.164 0.036 1.547 0.042
641 512.7 544.2 26.242 0.017 0.750 0.026
642 513.3 413.0 27.783 0.063 1.130 0.084
643 513.8 465.1 26.571 0.020 -0.583 0.082
644 514.4 505.5 27.503 0.050 0.711 0.081
645 514.7 347.7 27.328 0.041 0.720 0.066
646 515.1 547.2 28.175 0.089 0.507 0.163
647 515.7 409.6 26.545 0.021 0.367 0.041
648 516.7 511.2 27.432 0.043 2.757 0.044
649 517.2 309.9 27.785 0.062 0.847 0.094
650 517.4 276.6 27.765 0.064 1.022 0.088
651 517.4 372.6 27.097 0.033 0.065 0.083
652 517.5 301.6 28.372 0.106 1.443 0.127
653 517.5 535.5 28.079 0.082 1.715 0.093
654 518.1 482.9 27.392 0.044 0.748 0.070
655 519.1 384.7 27.243 0.039 1.025 0.054
656 519.4 492.1 27.598 0.053 0.555 0.093
657 519.7 486.7 25.336 0.009 0.526 0.015
658 519.9 412.2 25.092 0.008 1.051 0.011
659 520.5 391.3 27.999 0.076 0.323 0.156
660 520.5 545.5 26.959 0.032 0.958 0.046
661 521.0 460.0 24.619 0.006 0.747 0.010
662 521.2 349.5 26.798 0.026 0.873 0.039
663 521.4 323.6 26.788 0.026 0.807 0.040
664 521.4 471.0 26.715 0.024 0.746 0.038
665 521.5 383.7 27.510 0.050 0.843 0.076
666 521.7 466.3 28.050 0.080 1.369 0.098
667 522.2 329.5 27.532 0.049 0.195 0.110
668 522.6 269.6 26.830 0.027 0.401 0.052
669 522.9 371.1 25.389 0.009 0.931 0.013
670 523.1 426.5 27.781 0.062 0.558 0.110
671 523.4 536.4 25.392 0.009 0.563 0.015
672 523.8 283.9 27.633 0.055 0.776 0.085
673 524.2 459.9 24.589 0.006 1.006 0.009
674 524.2 306.7 27.434 0.044 -0.244 0.139
675 524.5 466.8 28.194 0.091 0.818 0.140
676 524.8 286.5 28.451 0.114 0.912 0.167
677 525.5 500.9 27.283 0.041 0.699 0.066
678 525.7 326.2 25.367 0.009 0.734 0.014
679 525.8 316.1 28.321 0.102 1.346 0.125
680 527.3 466.9 28.422 0.113 1.179 0.148
681 527.7 471.7 25.816 0.012 0.919 0.018
682 529.2 333.6 28.115 0.083 1.535 0.097
683 529.3 452.2 25.692 0.011 0.818 0.017
684 529.4 435.7 25.543 0.010 0.640 0.016
685 529.5 345.6 28.452 0.114 1.661 0.130
686 530.4 408.0 27.673 0.056 0.165 0.130
687 531.8 289.2 27.796 0.063 1.095 0.086
688 532.0 529.9 22.939 0.005 1.314 0.008
689 532.4 398.9 28.164 0.087 0.538 0.158
690 534.1 507.5 28.087 0.084 1.033 0.116
691 534.9 460.5 23.970 0.005 1.108 0.008
692 535.2 373.1 23.771 0.005 1.176 0.008
693 536.3 446.5 26.632 0.023 0.884 0.034
694 537.5 487.0 28.056 0.081 0.702 0.131
695 538.4 482.1 25.769 0.011 0.741 0.018
696 538.6 305.1 27.490 0.048 1.072 0.065
697 539.1 392.3 25.299 0.008 1.034 0.012
698 539.8 424.7 25.668 0.011 0.672 0.018
699 539.9 487.7 27.249 0.039 1.124 0.052
700 540.0 512.5 27.330 0.042 0.844 0.063
701 540.3 336.2 26.107 0.015 0.506 0.027
702 540.5 499.8 27.607 0.053 0.062 0.131
703 540.5 503.3 27.522 0.049 0.737 0.078
704 541.5 434.4 28.256 0.098 0.868 0.147
705 541.7 373.5 28.134 0.086 1.386 0.105
706 542.3 384.1 24.148 0.006 1.095 0.008
707 542.5 445.0 26.517 0.021 0.857 0.031
708 543.1 518.9 28.213 0.092 0.782 0.145
709 543.2 301.1 26.628 0.023 0.776 0.035
710 543.7 420.9 24.116 0.006 1.180 0.008
711 543.8 496.0 28.535 0.123 1.699 0.139
712 544.4 485.6 26.385 0.019 0.884 0.028
713 544.6 355.3 27.356 0.045 1.029 0.062
714 544.9 461.3 25.576 0.010 0.622 0.016
715 545.2 334.6 27.318 0.041 0.559 0.073
716 545.3 293.5 28.419 0.112 1.098 0.151
717 545.9 360.9 27.684 0.058 0.840 0.087
718 547.0 431.0 25.841 0.012 1.102 0.017
719 547.3 413.3 23.502 0.005 1.266 0.008
720 547.8 519.3 27.778 0.063 0.704 0.102
721 550.0 494.4 27.084 0.034 0.459 0.063
722 550.5 526.4 27.304 0.040 0.297 0.085
723 551.0 384.9 25.366 0.009 0.630 0.014
724 551.3 449.5 26.389 0.019 0.592 0.032
725 551.4 291.4 27.306 0.040 -0.030 0.109
726 552.0 481.3 25.197 0.008 0.404 0.014
727 552.1 361.7 26.291 0.017 0.829 0.026
728 552.7 281.2 25.267 0.008 0.625 0.014
729 553.3 393.5 26.637 0.024 0.846 0.036
730 554.1 516.2 27.648 0.055 0.404 0.107
731 554.2 336.2 28.073 0.080 1.701 0.091
732 554.3 413.1 28.044 0.079 1.300 0.099
733 554.3 531.7 27.749 0.061 0.822 0.093
734 555.8 451.4 25.739 0.011 0.932 0.016
735 556.4 518.4 28.278 0.098 0.665 0.164
736 556.6 345.5 27.496 0.048 0.262 0.105
737 557.3 300.3 26.289 0.017 0.871 0.025
738 557.3 458.4 26.920 0.030 -0.024 0.077
739 559.3 312.3 26.209 0.016 1.070 0.022
740 559.8 338.7 28.273 0.095 1.511 0.113
741 560.4 392.8 27.345 0.042 0.584 0.073
742 560.7 412.4 26.231 0.016 1.599 0.019
743 561.5 361.4 26.741 0.026 0.571 0.045
744 562.5 515.9 27.855 0.067 1.049 0.092
745 562.7 521.5 27.395 0.045 0.901 0.067
746 563.0 306.0 27.009 0.032 0.863 0.047
747 563.4 356.6 27.315 0.040 -0.363 0.138
748 563.9 444.5 26.976 0.031 0.909 0.045
749 564.0 376.5 28.280 0.099 1.112 0.132
750 564.1 365.8 25.614 0.010 1.036 0.014
751 564.7 539.6 25.806 0.012 0.831 0.018
752 565.5 290.6 28.439 0.112 0.850 0.169
753 565.6 413.3 27.690 0.058 0.578 0.100
754 565.6 514.3 26.663 0.024 0.785 0.037
755 567.7 426.5 27.404 0.046 0.241 0.099
756 569.4 311.2 27.424 0.045 -0.025 0.118
757 570.2 280.0 27.851 0.067 0.855 0.100
758 571.1 545.4 25.001 0.007 1.084 0.011
759 572.7 468.7 28.041 0.080 1.723 0.090
760 573.7 308.5 28.176 0.088 0.698 0.145
761 573.7 419.3 26.098 0.015 0.837 0.023
762 574.2 430.4 28.336 0.102 1.649 0.117
763 574.5 313.4 26.907 0.028 0.240 0.062
764 575.2 485.8 28.360 0.106 1.358 0.130
765 575.2 496.6 26.236 0.017 0.958 0.024
766 575.8 549.1 22.917 0.005 1.187 0.008
767 576.5 386.5 26.267 0.018 0.831 0.027
768 576.6 404.2 27.853 0.068 0.775 0.105
769 577.3 328.5 27.327 0.042 0.853 0.063
770 577.8 506.8 26.676 0.024 0.809 0.037
771 577.9 473.1 26.891 0.029 0.814 0.044
772 579.5 364.1 27.803 0.063 1.061 0.086
773 580.5 299.5 26.639 0.024 0.959 0.034
774 581.1 483.6 27.735 0.060 0.715 0.097
775 581.4 512.9 28.151 0.086 1.693 0.098
776 581.5 393.5 25.862 0.013 0.290 0.026
777 581.6 542.3 27.497 0.047 -0.261 0.151
778 581.7 312.7 27.421 0.046 1.051 0.063
779 581.8 441.3 27.385 0.044 0.583 0.076
780 582.0 347.1 25.831 0.012 0.857 0.018
781 582.1 277.8 28.326 0.102 1.534 0.119
782 582.6 326.4 25.724 0.011 0.385 0.021
783 582.9 402.9 25.297 0.008 0.843 0.013
784 583.1 468.0 25.948 0.013 0.606 0.022
785 583.3 461.1 27.910 0.070 0.276 0.149
786 584.0 367.9 27.489 0.048 0.765 0.075
787 584.3 362.6 28.327 0.100 1.708 0.113
788 585.7 488.0 27.191 0.035 -0.703 0.161
789 586.9 434.6 27.124 0.035 0.597 0.060
790 587.1 284.3 27.985 0.074 1.056 0.102
791 587.1 332.0 27.388 0.043 0.870 0.064
792 587.3 517.1 25.441 0.009 0.422 0.017
793 587.4 299.4 27.877 0.069 0.948 0.099
794 587.5 386.5 24.661 0.006 -0.101 0.013
795 587.8 439.3 26.967 0.028 -0.809 0.141
