Reg      ID      X(")        Y(")          LogAge      [Fe/H]VI     logg          E(B-V)       RA(deg)    Dec(deg)       V            eV           VI           eVI   
7      1158      55.63580      35.06400       9.85000      -1.97321       0.84771       0.03800       0.47580     -15.47363      22.66000       0.08000       1.29000       0.10000
7      1194      54.70420     -37.08400       9.80000      -1.97108       0.84816       0.03800       0.47605     -15.45359      22.61000       0.17000       1.29000       0.23345
7      1217      54.17780     128.30099       9.40000      -1.96080       0.78714       0.03800       0.47620     -15.49953      22.18000       0.12000       1.31000       0.13000
7      1254      53.56300      13.31890       9.30000      -1.96017       1.34187       0.03800       0.47637     -15.46759      22.94000       0.10000       1.10000       0.12806
7      1293      52.81310    -102.63200      10.25000      -1.90759       0.58462       0.03800       0.47658     -15.43538      22.87000       0.16000       1.48000       0.17464
7      1299      52.68560      91.59440       9.75000      -1.96944       1.10033       0.03800       0.47662     -15.48933      22.95000       0.09000       1.19000       0.11402
7      1483      48.47000     -76.56880      10.10000      -1.98996       0.88135       0.04705       0.47779     -15.44262      22.92000       0.10000       1.28000       0.12207
7      1567      46.96130     143.68700       9.95000      -1.90071       0.07589       0.03800       0.47821     -15.50380      22.32000       0.08000       1.55000       0.09434
7      1592      46.51130     -88.31740       9.95000      -1.90071       0.39136       0.03800       0.47833     -15.43936      22.65000       0.09000       1.45000       0.10296
7      1596      46.41120     -44.26740      10.20000      -1.90374       0.19643       0.03800       0.47836     -15.45159      22.88000       0.08000       1.60000       0.09434
7      1651      45.09760     -37.31040       9.80000      -1.97120       0.98247       0.03800       0.47872     -15.45352      22.81000       0.09000       1.23000       0.11402
7      1764      42.27700     -54.21380      10.00000      -1.90024       0.26269       0.03800       0.47951     -15.44883      22.82000       0.08000       1.51000       0.09434
7      1840      40.84240      13.61700       9.95000      -1.90198       0.40203       0.03800       0.47990     -15.46767      22.44000       0.07000       1.42000       0.08062
7      1863      40.50540     121.51700       9.50000      -1.96245       0.77720       0.03800       0.48000     -15.49764      22.26000       0.08000       1.32000       0.09434
7      1933      39.25480     109.27400       9.70000      -1.92582       0.67940       0.11571       0.48035     -15.49424      22.57000       0.11000       1.47000       0.13038
7      2056      36.86760     -39.87140       9.45000      -1.96172       1.17176       0.03800       0.48101     -15.45281      22.80000       0.09000       1.16000       0.11402
7      2186      34.35260      64.37230       9.95000      -1.90098       0.29123       0.03800       0.48171     -15.48177      22.48000       0.07000       1.50000       0.08062
7      2191      34.26620     -96.67940      10.20000      -1.99873       0.84430       0.03800       0.48173     -15.43703      22.90000       0.15000       1.28000       0.17000
7      2285      32.49400     115.04800       9.90000      -1.90117       0.01469       0.11571       0.48222     -15.49585      22.10000       0.07000       1.57000       0.08062
7      2294      32.35790     115.21000       9.10000      -1.95632       0.72075       0.11571       0.48226     -15.49589      22.03000       0.06000       1.43000       0.07211
7      2339      31.55870    -106.41900       9.75000      -1.89972       0.61955       0.03800       0.48248     -15.43433      22.44000       0.10000       1.45000       0.11180
7      2389      30.81280     -91.75000      10.10000      -1.99219       0.89368       0.03800       0.48269     -15.43840      22.95000       0.13000       1.29000       0.15264
7      2515      28.65530     -16.53340       9.25000      -1.95949       0.82204       0.21641       0.48329     -15.45930      22.66000       0.07000       1.52000       0.08602
7      2600      27.00830     -90.80390       9.15000      -1.95705       1.29721       0.03800       0.48375     -15.43867      22.71000       0.10000       1.11000       0.13454
7      2617      26.84920      46.63910       9.00000      -1.95639       1.07382       0.03800       0.48379     -15.47684      22.18000       0.08000       1.18000       0.10630
7      2628      26.75340     -94.59610       9.75000      -1.89533       0.27597       0.03800       0.48382     -15.43761      22.67000       0.10000       1.60000       0.11180
7      2650      26.40060    -115.88400       9.60000      -1.96475       0.99109       0.03800       0.48392     -15.43170      22.66000       0.12000       1.23000       0.15000
7      2714      25.35770     -53.32140       9.60000      -1.96603       0.91429       0.03800       0.48421     -15.44908      22.58000       0.08000       1.27000       0.09434
7      2718      25.29180     -90.60190       9.90000      -1.90117       0.33224       0.03800       0.48422     -15.43872      22.25000       0.07000       1.36000       0.08602
7      2990      21.31340     -60.27370       9.60000      -1.89531       0.29566       0.04768       0.48533     -15.44715      22.46000       0.07000       1.56000       0.08062
7      3188      18.47950     -79.81340      10.10000      -1.99214       0.84601       0.03800       0.48612     -15.44172      22.88000       0.15000       1.31000       0.16553
7      3214      18.00070     -37.87380       9.75000      -1.89532       0.31334       0.03800       0.48625     -15.45337      22.77000       0.11000       1.57000       0.12530
7      3271      16.72520     144.22200       9.50000      -1.96265       1.20590       0.03800       0.48660     -15.50395      22.90000       0.11000       1.15000       0.13601
7      3379      14.17680      73.80110      10.05000      -1.98589       0.83621       0.03800       0.48731     -15.48439      22.78000       0.08000       1.29000       0.09434
7      3473      12.02980     -24.71040      10.05000      -1.90180       0.26721       0.03800       0.48791     -15.45702      22.81000       0.08000       1.58000       0.09434
7      3492      11.68630      -6.60816      10.25000      -1.90460       0.22168       0.03800       0.48800     -15.46205      22.74000       0.10000       1.51000       0.11180
7      3676       7.18668     -60.35580       8.85000      -1.96108       1.44976       0.04768       0.48925     -15.44712      22.66000       0.10000       1.06000       0.12806
7      3679       7.08084     -27.49720      10.25000      -1.90461       0.37563       0.03800       0.48928     -15.45625      22.98000       0.09000       1.48000       0.11402
7      3738       6.01632     -11.89620       9.80000      -1.89921       0.56553       0.03800       0.48958     -15.46058      22.69000       0.08000       1.55000       0.09434
7      3778       5.04576     -10.34570       9.95000      -1.90071       0.32275       0.03800       0.48985     -15.46101      22.59000       0.07000       1.49000       0.08602
7      3830       3.87324     -24.45410       8.55000      -1.96508       1.34259       0.03800       0.49017     -15.45710      22.09000       0.05000       1.06000       0.06403
7      3897       2.32128     124.60200       9.75000      -1.96940       0.97034       0.03800       0.49061     -15.49850      22.75000       0.09000       1.24000       0.11402
7      3901       2.22696     -48.46140       9.35000      -1.96067       1.07052       0.03800       0.49063     -15.45043      22.55000       0.10000       1.19000       0.12207
7      3964       0.79344     -76.30850       9.80000      -1.89921       0.62742       0.03800       0.49103     -15.44269      22.76000       0.13000       1.52000       0.15264
7      3995       0.12492     -10.39070       9.90000      -1.97517       0.95100       0.03800       0.49122     -15.46100      22.85000       0.09000       1.25000       0.11402
7      4046      -0.96948      84.48730       8.90000      -1.95780       1.58223       0.03800       0.49152     -15.48736      22.92000       0.20000       1.01000       0.26249
7      4195      -4.42080     -20.05200       9.20000      -1.95840       0.83101       0.03800       0.49248     -15.45832      22.04000       0.05000       1.29000       0.06403
7      4216      -4.68756     -67.81430       9.85000      -1.90020       0.50110       0.03800       0.49255     -15.44505      22.59000       0.12000       1.57000       0.13892
7      4237      -5.10120      28.22330       9.40000      -1.96080       0.78714       0.03800       0.49267     -15.47173      22.18000       0.09000       1.31000       0.10817
7      4274      -5.94648     -38.04160       9.25000      -1.95956       0.95150       0.03800       0.49290     -15.45332      22.27000       0.05000       1.24000       0.06403
7      4317      -7.04952     172.12100      10.00000      -1.90024       0.30537       0.03800       0.49321     -15.51170      22.99000       0.12000       1.55000       0.13892
7      4377      -8.25048      -2.79036       9.50000      -1.96273       0.83761       0.03800       0.49354     -15.46311      22.34000       0.06000       1.29000       0.07810
7      4450     -10.09870     101.69900      10.05000      -1.98545       0.82390       0.03800       0.49406     -15.49214      22.78000       0.09000       1.30000       0.10817
7      4467     -10.34890     -65.02790       9.65000      -1.96721       0.90186       0.03800       0.49412     -15.44583      22.60000       0.15000       1.28000       0.17493
7      4481     -10.61930      16.88980       9.85000      -1.97454       0.91490       0.03800       0.49420     -15.46858      22.79000       0.10000       1.28000       0.14142
7      4527     -11.55960       0.31392       9.75000      -1.89533       0.44533       0.03800       0.49446     -15.46398      22.81000       0.09000       1.52000       0.10296
7      4546     -11.99520     -64.01990       9.20000      -1.96009       1.33957       0.03800       0.49458     -15.44611      22.90000       0.22000       1.11000       0.27803
7      4579     -12.50680     -21.43190       9.95000      -1.90071       0.29521       0.03800       0.49472     -15.45794      22.47000       0.06000       1.49000       0.07810
7      4698     -14.97240     -49.29590      10.20000      -1.90615       0.49292       0.03800       0.49541     -15.45020      22.67000       0.20000       1.36000       0.22361
7      4704     -15.09910      21.97370       8.80000      -1.96353       1.59479       0.03800       0.49544     -15.46999      22.83000       0.11000       1.01000       0.16279
7      4778     -16.64350     -71.25410       9.60000      -1.96463       0.78237       0.03800       0.49587     -15.44410      22.35000       0.14000       1.32000       0.16125
7      4798     -17.16010     143.17599       9.95000      -1.90071       0.47214       0.03800       0.49602     -15.50366      22.74000       0.08000       1.42000       0.09434
7      4889     -19.21970      82.21250      10.00000      -1.98133       0.79315       0.03800       0.49659     -15.48673      22.69000       0.19000       1.31000       0.23022
7      4916     -19.82300      81.33840      10.20000      -1.90615       0.38629       0.03800       0.49676     -15.48648      22.58000       0.21000       1.41000       0.23259
7      4932     -20.29640     171.57100       9.75000      -1.96940       0.97034       0.03800       0.49689     -15.51155      22.75000       0.13000       1.24000       0.15264
7      5004     -22.02800      83.67950       9.90000      -1.97666       0.84040       0.03800       0.49737     -15.48713      22.72000       0.18000       1.31000       0.21095
7      5013     -22.21520      98.93740      10.05000      -1.98552       0.85561       0.03800       0.49742     -15.49137      22.82000       0.14000       1.28000       0.16643
7      5142     -25.63200      27.92200       9.80000      -1.97114       0.82470       0.03800       0.49837     -15.47165      22.58000       0.10000       1.30000       0.11662
7      5163     -26.07980       8.75808       9.75000      -1.97044       0.90470       0.03800       0.49849     -15.46632      22.69000       0.09000       1.28000       0.10817
7      5212     -27.17640      -4.17708      10.15000      -1.90471       0.48197       0.03800       0.49880     -15.46273      22.76000       0.09000       1.39000       0.10817
7      5339     -30.25370     116.01100      10.25000      -1.90759       0.66697       0.03800       0.49965     -15.49611      22.97000       0.09000       1.44000       0.10817
7      5377     -30.85020       6.53580      10.05000      -1.98545       0.82390       0.03800       0.49982     -15.46570      22.78000       0.11000       1.30000       0.12530
7      5538     -34.13410      14.46230       9.25000      -1.95953       1.27551       0.03800       0.50073     -15.46791      22.78000       0.12000       1.12000       0.14422
7      5593     -35.46720     -30.61870       9.55000      -1.96526       1.16137       0.05368       0.50110     -15.45538      22.97000       0.09000       1.20000       0.11402
7      5642     -36.50620      16.47040       9.55000      -1.96380       0.82152       0.03800       0.50139     -15.46846      22.36000       0.07000       1.30000       0.08602
7      5668     -37.13080     183.45399      10.20000      -1.99873       0.84430       0.03800       0.50156     -15.51485      22.90000       0.14000       1.28000       0.16643
7      5728     -38.32450     -15.71180       9.20000      -1.95837       1.23876       0.03800       0.50190     -15.45952      22.67000       0.08000       1.13000       0.10000
7      5759     -38.82920      -7.23816       9.90000      -1.90117       0.55677       0.03800       0.50204     -15.46188      22.71000       0.08000       1.49000       0.09434
7      5830     -40.19830      25.72850      10.25000      -1.90461       0.19563       0.03800       0.50242     -15.47104      22.85000       0.16000       1.57000       0.17088
7      5870     -41.17460     132.03600      10.20000      -1.99873       0.84430       0.03800       0.50269     -15.50057      22.90000       0.12000       1.28000       0.13416
7      6044     -45.03960     -27.15840      10.20000      -1.90374       0.36526       0.03800       0.50376     -15.45634      22.99000       0.10000       1.49000       0.11662
7      6112     -46.75500     118.00700       9.85000      -1.90020       0.57229       0.03800       0.50424     -15.49667      22.64000       0.08000       1.53000       0.08944
7      6225     -49.22750      93.65580       9.15000      -1.95911       1.41436       0.03800       0.50492     -15.48990      22.98000       0.09000       1.09000       0.12042
7      6227     -49.31960      48.13740      10.20000      -1.90615       0.49845       0.03800       0.50495     -15.47726      22.68000       0.08000       1.36000       0.10000
7      6229     -49.41360      19.78310      10.25000      -1.90461       0.19563       0.03800       0.50498     -15.46938      22.85000       0.14000       1.57000       0.15653
7      6239     -49.75560     -27.15410       9.90000      -1.90117       0.59928       0.05807       0.50507     -15.45635      22.76000       0.08000       1.50000       0.09434
7      6377     -53.12050      48.65580       9.65000      -1.96721       0.83229       0.03800       0.50601     -15.47740      22.50000       0.07000       1.31000       0.08602
7      6494     -55.90370     -19.52210       9.85000      -1.97337       0.83697       0.05807       0.50678     -15.45847      22.70000       0.08000       1.32000       0.10000
7      6537     -57.45890     108.50500      10.25000      -1.90759       0.45568       0.03800       0.50721     -15.49403      22.53000       0.07000       1.34000       0.08602
7      6601     -59.63080      77.34850       9.75000      -1.89531      -0.25682       0.14646       0.50781     -15.48537      22.73000       0.08000       1.96000       0.08944
7      6789     -71.36820      71.59360       9.40000      -1.96089       0.69625       0.14646       0.51107     -15.48378      22.40000       0.07000       1.49000       0.08062
7      6851     -76.73220      49.24300      10.00000      -1.90024       0.01865       0.03800       0.51256     -15.47757      22.79000       0.11000       1.71000       0.12083
7      6873     -79.48660     149.37300       9.45000      -1.89411       0.47639       0.15190       0.51333     -15.50538      22.56000       0.08000       1.55000       0.09434
7      6924     -84.01460     112.00400       9.05000      -1.95631       1.48230       0.03800       0.51459     -15.49500      22.91000       0.12000       1.05000       0.15620
7      6951     -87.93940     140.56400       9.10000      -1.95638       1.08691       0.15190       0.51568     -15.50293      22.68000       0.08000       1.32000       0.09434
7      6955     -88.05780     196.46201       9.85000      -1.90019       0.26097       0.03800       0.51571     -15.51846      22.11000       0.10000       1.43000       0.11662
7      7012     -95.93640      82.80540       9.80000      -1.89921       0.62742       0.03800       0.51790     -15.48689      22.76000       0.11000       1.52000       0.12530
7      7028     -98.42440     120.90300       9.80000      -1.89921       0.59568       0.03800       0.51859     -15.49747      22.70000       0.13000       1.54000       0.14765
6     15814    -744.53302     508.00400      10.15000      -1.99661       0.56105       0.03370       0.27767     -15.31961      22.48700       0.01400       1.42500       0.01600
6     25612    -462.60101    -595.34198       9.90000      -1.97500       0.89358       0.03017       0.35867     -15.62617      22.74000       0.00500       1.26100       0.01100
6     33348    -269.85101     -38.94300      10.10000      -1.99028       0.85300       0.03506       0.41429     -15.47164      22.84500       0.00400       1.28000       0.00700
6     34036    -255.79800    -259.47000      10.00000      -1.98136       0.75984       0.03527       0.41833     -15.53289      22.63500       0.00600       1.32400       0.00800
6     36247    -217.33800     367.17200       9.95000      -1.97783       0.72515       0.03210       0.42946     -15.35883      22.54900       0.00800       1.33900       0.00900
6     36601    -211.69901     -74.82500       9.85000      -1.97356       1.11859       0.03711       0.43108     -15.48161      23.05200       0.00500       1.18000       0.00900
6     36765    -209.30000     -66.86300       9.85000      -1.90020       0.78689       0.03711       0.43175     -15.47939      22.89200       0.00600       1.41600       0.00800
6     37709    -195.48801     187.31700       9.85000      -1.90020       0.67035       0.03311       0.43575     -15.40880      22.73500       0.00500       1.46500       0.00700
6     38015    -190.83501     151.39301       9.50000      -1.89447       0.41961       0.03457       0.43708     -15.41878      22.37200       0.00600       1.46200       0.00800
6     41834    -145.31599     137.85001      10.15000      -1.90471       0.48197       0.03457       0.45021     -15.42253      22.75100       0.00600       1.38700       0.00900
6     42108    -142.74100      36.99200      10.00000      -1.98164       1.06943       0.03646       0.45096     -15.45056      23.08800       0.00700       1.19300       0.01100
6     42248    -141.59900      57.89700       9.80000      -1.90047       0.53988       0.03646       0.45129     -15.44475      22.34900       0.00500       1.48100       0.00700
6     42294    -141.24001      54.03400       9.90000      -1.90122       0.50149       0.03646       0.45138     -15.44583      22.49000       0.00700       1.53800       0.00800
6     42897    -135.58299      67.67200       9.95000      -1.97975       1.04679       0.03646       0.45300     -15.44203      23.06900       0.00700       1.23100       0.01000
6     43180    -133.14600     -60.38200       9.95000      -1.90071       0.23290       0.03744       0.45371     -15.47761      22.39000       0.00800       1.51400       0.00900
6     43212    -132.86400      25.71300      10.15000      -1.90495       0.23477       0.03646       0.45379     -15.45369      22.46500       0.00800       1.49300       0.01000
6     44959    -120.23500     -37.96900       9.90000      -1.90118       0.72144       0.03780       0.45742     -15.47139      22.76500       0.00500       1.42200       0.00600
6     45243    -118.55600     332.17300      10.15000      -1.99513       0.96869       0.03269       0.45792     -15.36856      23.02100       0.01000       1.21900       0.01200
6     45969    -114.29200     307.16501      10.20000      -1.99869       0.90834       0.03362       0.45917     -15.37550      22.97700       0.00700       1.24500       0.01000
6     46196    -113.07800     330.17001       9.70000      -1.96765       0.91857       0.03269       0.45950     -15.36911      22.61300       0.00400       1.25100       0.00600
6     46350    -112.20900    -331.27399       9.90000      -1.90118       0.84320       0.03406       0.45975     -15.55286      22.91500       0.00600       1.35800       0.00800
6     46614    -110.68400     102.50900       9.85000      -1.97490       1.12135       0.03574       0.46021     -15.43236      23.10400       0.00500       1.19800       0.00800
6     47795    -104.28600    -294.55301       9.85000      -1.97302       0.81520       0.05519       0.46200     -15.54264      22.66600       0.00400       1.32600       0.00500
6     48326    -101.50300     218.96899       9.95000      -1.90098       0.30287       0.05866       0.46283     -15.40000      22.60200       0.00300       1.53200       0.00600
6     48339    -101.45200      20.91100       9.75000      -1.96931       0.88853       0.03646       0.46283     -15.45503      22.63400       0.00500       1.26700       0.00800
6     48389    -101.23500    -221.64101       9.85000      -1.97338       0.75429       0.03519       0.46292     -15.52239      22.51000       0.00700       1.33000       0.00900
6     49004     -98.21700     -93.88600      10.20000      -1.90615       0.34636       0.03744       0.46379     -15.48692      22.52800       0.00400       1.42300       0.00600
6     49100     -97.67900     260.20401      10.25000      -1.91005       0.43450       0.03362       0.46396     -15.38856      22.21700       0.01700       1.29200       0.01900
6     49317     -96.70400     -12.75900      10.15000      -1.90471       0.31701       0.03780       0.46421     -15.46439      22.62300       0.00700       1.47400       0.00900
6     50704     -90.58600      79.75200       9.85000      -1.90018       0.33743       0.03646       0.46596     -15.43867      22.27900       0.00900       1.38400       0.01100
6     50823     -90.13400    -222.70599       9.95000      -1.90071       0.25305       0.03519       0.46608     -15.52269      22.52000       0.00700       1.53300       0.00800
6     51088     -88.97900     452.79999       9.95000      -1.90070      -0.07728       0.03238       0.46646     -15.33506      22.21500       0.01200       1.61900       0.01200
6     51808     -86.09300    -102.85800      10.15000      -1.90471       0.45963       0.03744       0.46725     -15.48942      22.74600       0.00600       1.41000       0.00800
6     52419     -83.64800      13.18800       9.95000      -1.90205       0.44223       0.10213       0.46796     -15.45717      22.66800       0.00900       1.48000       0.01100
6     52795     -82.22800     142.69701       9.50000      -1.96265       1.09300       0.15190       0.46837     -15.42120      23.09100       0.01100       1.33400       0.01400
6     53568     -79.45600     -19.16700       9.70000      -1.92910       0.97718       0.03780       0.46917     -15.46617      22.73200       0.00900       1.23400       0.01100
6     53985     -77.96800     153.77600       9.45000      -1.96257       1.10814       0.03574       0.46963     -15.41811      22.73600       0.00500       1.18800       0.00800
6     54600     -75.87800     -23.59600       9.20000      -1.95857       1.48418       0.03780       0.47021     -15.46739      23.08000       0.00800       1.05400       0.01200
6     55785     -71.64000      71.72100       9.15000      -1.95697       1.31112       0.14646       0.47146     -15.44092      23.08600       0.00700       1.24100       0.01100
6     56099     -70.56600    -206.86099       9.95000      -1.90071       0.21227       0.03739       0.47175     -15.51830      22.42400       0.00600       1.53000       0.00800
6     56418     -69.41700     153.34200       9.35000      -1.96268       1.36815       0.03574       0.47208     -15.41825      23.08200       0.00700       1.10300       0.01200
6     56588     -68.84900     169.33400       9.75000      -1.89531       0.22534       0.03366       0.47225     -15.41381      22.54500       0.00700       1.46100       0.00900
6     56724     -68.40700     141.93900      10.00000      -1.90405       0.71431       0.03574       0.47238     -15.42142      22.91100       0.00900       1.45100       0.01200
6     57413     -66.18800    -256.82599       9.85000      -1.90020       0.38128       0.09519       0.47300     -15.53217      22.41000       0.00500       1.47400       0.00700
6     57737     -65.12600       0.00400       9.85000      -1.97358       1.13296       0.03780       0.47333     -15.46083      23.07400       0.00900       1.17500       0.01300
6     58007     -64.20900      60.40400       9.95000      -1.97807       0.79237       0.03646       0.47358     -15.44406      22.64800       0.01200       1.31300       0.01600
6     58023     -64.14400     133.81300       9.75000      -1.96931       0.90821       0.03574       0.47358     -15.42367      22.66100       0.00800       1.26500       0.01000
6     59373     -59.83100     112.17700       9.60000      -1.89531       0.38923       0.03549       0.47483     -15.42967      22.49800       0.00900       1.50000       0.01100
6     59991     -57.90100     228.41299       9.95000      -1.90071       0.45725       0.03366       0.47542     -15.39739      22.75100       0.00500       1.39800       0.00700
6     60386     -56.82600     190.92999       9.35000      -1.96042       0.84896       0.09482       0.47571     -15.40781      22.40500       0.00800       1.35600       0.01000
6     60782     -55.57300     486.41000      10.20000      -1.90615       0.21607       0.03170       0.47608     -15.32572      22.37600       0.00600       1.47300       0.00700
6     60849     -55.37700     440.11499       9.65000      -1.96619       0.80717       0.12238       0.47613     -15.33858      22.70000       0.01000       1.41600       0.01000
6     61450     -53.64300    -102.58800       9.80000      -1.97113       0.99928       0.07744       0.47663     -15.48933      22.96000       0.01400       1.27500       0.01600
6     61467     -53.58000     352.80600      10.10000      -1.90326       0.44792       0.03269       0.47667     -15.36283      22.81100       0.00400       1.43100       0.00600
6     61723     -52.78700    -432.19400      10.25000      -1.90760       0.63823       0.03260       0.47688     -15.58089      22.93500       0.00600       1.45400       0.00900
