Reg      ID      X(")        Y(")          LogAge      [Fe/H]VI     logg          E(B-V)       RA(deg)    Dec(deg)       V            eV           VI           eVI   
8          1    -40.71900   -120.25500      8.27208     -0.73580      1.36196      0.03768      0.48033    -15.49425     22.13276      0.05438      1.15487      0.03920
8          2    -37.68400     18.88300      8.25150     -0.72305      1.40190      0.03721      0.48121    -15.45558     22.16962      0.00432      1.14352      0.00553
8          3     13.09100     59.61200      9.35157     -1.21442      0.63556      0.03721      0.49588    -15.44428     22.26851      0.00648      1.44123      0.00964
7         8     118.67800      32.02600       9.95000      -1.22294       0.78955       0.03800       0.45828     -15.47278      22.97000       0.10000       1.38000       0.12207
8         13    -45.84200    -13.38300      7.14655     -0.21327      2.06836      1.18807      0.47888    -15.46456     22.35957      0.00719      1.48913      0.00166
8         15    -25.57400    -12.29200      9.40650     -1.21542      0.68154      0.03807      0.48471    -15.46425     22.37050      0.02175      1.41974      0.00227
8         18     21.56700   -101.09000      8.00245      0.32455      1.60375      0.03768      0.49829    -15.48892     22.38196      0.01968      1.17653      0.00531
8         19    -73.62900    -18.31800      9.30254     -0.95979      0.62732      0.03780      0.47087    -15.46592     22.38290      0.01490      1.49929      0.00487
8         21     20.27000    -43.13400      8.50095     -1.21744      1.44567      0.03807      0.49792    -15.47281     22.40668      0.00990      1.08943      0.00626
7        22     114.58900     -14.60480       9.25000      -0.95915       0.90662       0.07443       0.45942     -15.45983      22.83000       0.15000       1.42000       0.17000
8         22    -38.87800     13.44300      9.40109     -1.20970      0.72135      0.03721      0.48088    -15.45711     22.40949      0.00732      1.40126      0.00389
8         24     -4.05700   -105.65100      9.74978     -1.21623      0.42092      0.03768      0.49092    -15.49019     22.42532      0.00682      1.56989      0.00235
7        26     113.20500     -13.74980       8.70000      -0.96490       1.57125       0.03800       0.45980     -15.46007      22.95000       0.19000       1.10000       0.23022
8         26     -5.61800    -10.72000      9.45210     -1.21604      0.68793      0.03807      0.49046    -15.46381     22.43451      0.01246      1.42043      0.00482
8         28     17.05300    -42.39800      9.08153     -1.20197      0.95036      0.03807      0.49700    -15.47261     22.46468      0.01944      1.30820      0.01396
7        31     111.23200      21.67850       8.60000      -0.19853       1.25773       0.03800       0.46035     -15.46991      22.79000       0.10000       1.37000       0.11662
8         32      8.27400    -11.32400      8.91289     -1.22167      1.16359      0.03807      0.49446    -15.46397     22.47319      0.04180      1.20978      0.03850
8         33     -8.25400   -117.33800      7.85300      0.30456      1.79244      0.03768      0.48971    -15.49342     22.47030      0.00299      1.09535      0.00348
8         34     -8.25400   -117.33800      7.86116      0.29360      1.78921      0.03768      0.48971    -15.49342     22.47215      0.02401      1.09576      0.00845
7        38     109.63700      78.76040       9.50000      -0.95934       0.54535       0.03800       0.46080     -15.48577      22.56000       0.09000       1.55000       0.10296
8         38     36.52000    -24.49900      9.65161     -1.21278      0.58777      0.03641      0.50262    -15.46764     22.48454      0.01989      1.47213      0.00101
8         42     31.09800    -25.25200      8.21483     -0.20874      1.69270      0.03641      0.50104    -15.46786     22.49830      0.03818      1.05706      0.04693
8         43    -97.32500    -67.57600      9.60162     -1.14542      0.26201      0.03744      0.46404    -15.47961     22.50076      0.01451      1.54720      0.00378
8         44    -64.23100     84.64700      8.60115     -0.71261      1.03514      0.14646      0.47358    -15.43731     22.49996      0.00062      1.44962      0.00618
8         46    -71.21100   -118.54400      9.40023     -1.20781      0.73715      0.04705      0.47154    -15.49375     22.50814      0.01659      1.42004      0.01509
8         48    -72.53400   -141.11000      9.60115     -1.21235      0.62005      0.03739      0.47117    -15.50003     22.51648      0.00766      1.47215      0.00235
