Reg      ID      X(")        Y(")          LogAge      [Fe/H]VI     logg          E(B-V)       RA(deg)    Dec(deg)       V            eV           VI           eVI   
8         14    -21.56000     95.99800     10.19857     -1.65608      0.43176      0.03549      0.48588    -15.43417     22.36738      0.00899      1.33522      0.00528
8         20    -42.25200    -24.65900     10.19787     -1.90646      0.25421      0.03807      0.47992    -15.46769     22.40530      0.00322      1.45867      0.00359
7        36     110.47300      -0.92808      10.30000      -1.65419       0.43852       0.03800       0.46056     -15.46363      22.92000       0.14000       1.42000       0.16125
7        67     102.23900     100.74100      10.30000      -1.65740       0.35792       0.05571       0.46285     -15.49187      22.78000       0.11000       1.47000       0.12530
8         73    -23.48000     95.00000     10.25000     -3.51877      0.83406      0.03549      0.48533    -15.43444     22.56725      0.00457      1.16997      0.00055
8         74    -64.77200     18.50000     10.17417     -1.16439      0.43814      0.03646      0.47342    -15.45569     22.58284      0.00189      1.45384      0.00197
7        80      98.96650      82.85330      10.25000      -1.65653       0.28534       0.04490       0.46376     -15.48690      22.52000       0.08000       1.46000       0.09434
7        88      97.97830      56.52970      10.20000      -1.65468       0.14291       0.03800       0.46403     -15.47959      22.78000       0.13000       1.62000       0.13928
7        94      97.27130       1.72476      10.15000      -1.48894       0.58582       0.03800       0.46423     -15.46437      22.73000       0.15000       1.43000       0.16156
8         96    -67.48500    -13.45300     10.24878     -1.49980      0.44183      0.03780      0.47263    -15.46456     22.65722      0.00402      1.52876      0.00435
7        98      96.81080      -0.66060      10.20000      -3.00656       0.94088       0.03800       0.46436     -15.46371      22.81000       0.12000       1.18000       0.15000
7       120      93.48370     -29.19100      10.25000      -1.49934       0.58633       0.03800       0.46528     -15.45578      22.78000       0.13000       1.43000       0.15264
8        135    -74.00000      3.15400     10.24857     -2.50261      0.80965      0.03780      0.47075    -15.45994     22.75723      0.00278      1.27214      0.01339
8        137    -27.41400     25.54800     10.15168     -1.98597      0.76483      0.03721      0.48417    -15.45375     22.76139      0.02595      1.31969      0.00527
8        162      4.23300   -100.54800     10.28188     -1.64368      0.32523      0.03768      0.49329    -15.48875     22.85088      0.01602      1.50788      0.02358
8        174    -68.38800    -43.89900     10.19703     -1.74326      0.78874      0.04780      0.47238    -15.47303     22.93387      0.00176      1.33011      0.00147
8        177     24.26500    -29.08900     10.24455     -1.66283      0.46992      0.03807      0.49908    -15.46892     22.94440      0.01670      1.43250      0.02609
8        178    -48.01500      9.47900     10.23491     -1.65016      0.47005      0.03807      0.47825    -15.45819     22.94801      0.00013      1.43108      0.00122
7       184      87.88750      31.67350      10.20000      -1.24098       0.25474       0.13780       0.46684     -15.47269      22.87000       0.17000       1.76000       0.18028
8        184    -46.37300     26.29400     10.24729     -1.25078      0.64687      0.03721      0.47871    -15.45353     22.98096      0.01332      1.42382      0.01510
8        187    -37.01600    -21.28300     10.24397     -1.24892      0.68611      0.03807      0.48142    -15.46675     23.00729      0.00914      1.38265      0.01734
7       200      86.49400     -36.50760      10.15000      -1.90471       0.47394       0.03800       0.46722     -15.45375      22.78000       0.13000       1.41000       0.15264
7       206      86.38310     -80.00530      10.20000      -1.49366       0.08605       0.03800       0.46725     -15.44167      22.24000       0.07000       1.73000       0.08062
7       230      85.01760      21.16690      10.30000      -0.99709       0.82543       0.13780       0.46763     -15.46977      22.98000       0.15000       1.23000       0.19849
7       270      82.83020    -102.14500      10.15000      -1.65590       0.41304       0.03800       0.46824     -15.43552      22.69000       0.11000       1.43000       0.12530
7       273      82.44540     117.09500      10.15000      -1.99517       0.93040       0.03800       0.46835     -15.49642      22.97000       0.10000       1.24000       0.12806
7       296      81.25600    -111.30400      10.20000      -1.74752       0.67400       0.03800       0.46868     -15.43297      22.81000       0.13000       1.40000       0.15811
7       330      79.48940     -72.00220      10.25000      -1.65653       0.47628       0.05641       0.46917     -15.44389      22.78000       0.11000       1.40000       0.12530
7       331      79.48580     -63.29120      10.20000      -1.24129       0.49180       0.05641       0.46917     -15.44631      22.85000       0.11000       1.52000       0.12083
7       508      72.56590      73.30280      10.15000      -1.65551       0.18531       0.03800       0.47109     -15.48425      22.55000       0.08000       1.55000       0.08944
7       586      70.57190     -35.93050      10.30000      -1.65390       0.49195       0.03800       0.47165     -15.45391      22.91000       0.12000       1.38000       0.13892
7       713      66.75910      45.54500      10.20000      -1.24270       0.30428       0.03800       0.47271     -15.47654      22.67000       0.08000       1.65000       0.08944
7       794      64.53790     -86.21820      10.15000      -1.16080       0.30479       0.03800       0.47332     -15.43994      22.62000       0.09000       1.60000       0.10296
7       938      60.87600      79.66440      10.20000      -1.15566       0.43064       0.03800       0.47434     -15.48602      22.62000       0.07000       1.45000       0.08602
7       940      60.74210     -59.51120      10.15000      -1.21198       0.39015       0.03800       0.47438     -15.44736      22.68000       0.08000       1.56000       0.09434
7      1214      54.27610      13.84090      10.30000      -1.15697       0.59288       0.03800       0.47617     -15.46773      22.65000       0.08000       1.29000       0.10000
7      1228      53.98200      32.01980      10.15000      -1.65507      -0.27033       0.03800       0.47625     -15.47278      22.40000       0.07000       1.86000       0.07616
7      1293      52.81310    -102.63200      10.25000      -1.90759       0.58462       0.03800       0.47658     -15.43538      22.87000       0.16000       1.48000       0.17464
7      1346      51.56890     110.90800      10.25000      -1.75301       0.55564       0.11571       0.47693     -15.49470      22.93000       0.08000       1.55000       0.09434
7      1428      49.87220      54.49970      10.30000      -1.40374       0.21617       0.03800       0.47740     -15.47903      22.04000       0.07000       1.33000       0.08602
7      1596      46.41120     -44.26740      10.20000      -1.90374       0.19643       0.03800       0.47836     -15.45159      22.88000       0.08000       1.60000       0.09434
7      1711      43.55280     -71.83370      10.25000      -1.65544       0.33976       0.03800       0.47915     -15.44394      22.79000       0.10000       1.46000       0.11662
7      1714      43.40840     102.44500      10.20000      -1.49443       0.74068       0.03800       0.47919     -15.49235      22.95000       0.01000       1.36000       0.01414
7      1919      39.44090     -64.70060      10.25000      -1.49836       0.74077       0.03800       0.48029     -15.44592      22.99000       0.12000       1.35000       0.13892
7      2003      37.88930     -79.87320      10.20000      -1.49366       0.36609       0.03800       0.48073     -15.44170      22.50000       0.08000       1.55000       0.09434
7      2055      36.87520      16.52260      10.25000      -1.24565      -0.06061       0.03800       0.48101     -15.46848      22.29000       0.06000       1.83000       0.06708
7      2191      34.26620     -96.67940      10.20000      -1.99873       0.84430       0.03800       0.48173     -15.43703      22.90000       0.15000       1.28000       0.17000
7      2238      33.49080      21.40130      10.30000      -1.25099       0.47843       0.03800       0.48195     -15.46983      22.79000       0.08000       1.47000       0.09434
7      2320      31.89200      27.12020      10.15000      -1.65401       0.13148       0.03800       0.48239     -15.47142      22.79000       0.12000       1.64000       0.13000
7      2333      31.61230      46.86340      10.25000      -0.99332       0.37396       0.03800       0.48247     -15.47691      22.93000       0.15000       1.64000       0.16553
7      2347      31.45860     -76.26170      10.30000      -1.65571       0.31743       0.03800       0.48251     -15.44271      22.86000       0.10000       1.51000       0.11662
7      2548      28.13150      14.47670      10.30000      -1.49407       0.57976       0.03800       0.48344     -15.46791      22.80000       0.08000       1.43000       0.10000
7      2616      26.84920       0.51012      10.25000      -1.24612       0.59012       0.03800       0.48379     -15.46403      22.90000       0.09000       1.43000       0.10296
7      2661      26.21340      10.58080      10.30000      -1.25116       0.47077       0.03800       0.48397     -15.46683      22.81000       0.08000       1.51000       0.09434
7      2707      25.44010     -36.54430      10.25000      -1.49952       0.73946       0.03800       0.48418     -15.45374      22.96000       0.09000       1.36000       0.10817
7      2811      23.79170      18.40140      10.15000      -1.74021       0.60697       0.03800       0.48464     -15.46900      22.64000       0.08000       1.41000       0.09434
7      2998      21.24720    -106.00300      10.25000      -3.51421       0.87589       0.03800       0.48535     -15.43444      22.65000       0.15000       1.16000       0.17493
7      3033      20.61000     -69.21250      10.25000      -1.49841       0.69954       0.04768       0.48553     -15.44466      22.95000       0.10000       1.38000       0.12207
7      3039      20.51820      -4.37724      10.25000      -1.24612       0.59012       0.03800       0.48555     -15.46267      22.90000       0.11000       1.43000       0.12083
7      3047      20.40160     112.12400      10.25000      -0.73864       0.45008       0.11571       0.48558     -15.49503      22.39000       0.08000       1.34000       0.09434
7      3190      18.42480     -32.86800      10.15000      -1.74026       0.79771       0.03800       0.48613     -15.45476      22.91000       0.09000       1.32000       0.10817
7      3229      17.72890     -87.87460      10.15000      -1.74021       0.50528       0.03800       0.48633     -15.43948      22.51000       0.09000       1.46000       0.10296
7      3409      13.53670     122.91300      10.15000      -1.40409       0.39227       0.03800       0.48749     -15.49803      22.90000       0.11000       1.47000       0.12530
