#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      24.1827 1.0345  0.0059  0.0097  0.7557  
11      25.7169 0.2914  0.0117  0.0215  0.7561  
12      25.7115 0.2812  0.0117  0.0215  0.7560  
13      24.6700 0.9714  0.0069  0.0120  0.7555  
14      25.6571 0.4791  0.0111  0.0205  0.7569  
15      25.6401 0.5652  0.0111  0.0203  0.7570  
16      25.6559 0.4152  0.0112  0.0205  0.7568  
17      25.7133 0.2876  0.0116  0.0214  0.7562  
18      25.6164 0.7080  0.0109  0.0200  0.7572  
19      24.1156 1.0271  0.0058  0.0095  0.7557  
110     26.2552 0.8037  0.0175  0.0317  0.7545  
111     24.5062 0.9818  0.0065  0.0112  0.7556  
112     25.0437 0.9511  0.0081  0.0145  0.7553  
113     25.4945 0.7543  0.0102  0.0187  0.7574  
114     25.5918 0.6770  0.0108  0.0199  0.7573  
115     23.8090 1.0664  0.0053  0.0085  0.7557  
116     24.6239 0.9369  0.0067  0.0117  0.7575  
117     25.3637 0.9510  0.0095  0.0173  0.7552  
118     24.6109 1.0044  0.0067  0.0116  0.7556  
119     24.6721 0.9196  0.0069  0.0120  0.7575  
120     24.6279 0.6197  0.0068  0.0118  0.7559  
121     22.8410 1.3104  0.0046  0.0066  0.7558  
122     24.9315 0.9717  0.0077  0.0136  0.7554  
123     25.7201 0.3006  0.0116  0.0214  0.7562  
124     25.2157 0.9477  0.0088  0.0159  0.7553  
125     25.6150 0.6158  0.0110  0.0202  0.7571  
126     25.1545 0.9423  0.0085  0.0154  0.7553  
127     25.6923 0.2579  0.0116  0.0213  0.7563  
128     24.1327 1.0138  0.0058  0.0096  0.7557  
129     24.6539 0.9138  0.0069  0.0119  0.7575  
130     22.8366 1.3199  0.0046  0.0066  0.7558  
131     25.4850 0.7464  0.0102  0.0187  0.7574  
132     25.6025 0.6032  0.0110  0.0202  0.7572  
133     25.3670 0.9030  0.0096  0.0176  0.7552  
134     24.8378 0.9865  0.0073  0.0130  0.7555  
135     24.3331 0.9904  0.0061  0.0104  0.7556  
136     25.5837 0.9475  0.0107  0.0196  0.7551  
137     25.1833 0.9421  0.0087  0.0157  0.7553  
138     23.2407 1.1297  0.0048  0.0072  0.7576  
139     24.1818 1.0330  0.0059  0.0097  0.7557  
140     24.8486 0.9182  0.0074  0.0130  0.7575  
141     24.4838 0.9320  0.0064  0.0110  0.7575  
142     25.6796 0.2629  0.0115  0.0211  0.7564  
143     23.0308 1.2468  0.0047  0.0069  0.7558  
144     24.6415 0.9876  0.0068  0.0118  0.7555  
145     24.5613 0.9243  0.0066  0.0114  0.7575  
146     25.3162 0.8458  0.0092  0.0167  0.7574  
147     25.2617 0.9780  0.0089  0.0162  0.7553  
148     25.4323 0.9415  0.0098  0.0180  0.7552  
149     24.0782 0.9977  0.0057  0.0093  0.7576  
150     25.3515 0.8148  0.0094  0.0172  0.7574  
151     24.6513 0.9468  0.0068  0.0118  0.7575  
152     24.7842 0.9435  0.0073  0.0128  0.7555  
153     25.7081 0.3074  0.0115  0.0212  0.7564  
154     24.8146 0.9840  0.0073  0.0128  0.7555  
155     23.1744 1.2143  0.0048  0.0071  0.7558  
156     25.3025 0.9192  0.0093  0.0169  0.7552  
157     23.9253 1.0677  0.0055  0.0088  0.7557  
158     24.7024 0.9016  0.0070  0.0122  0.7575  
159     23.6503 1.0938  0.0052  0.0081  0.7558  
160     25.6400 0.3408  0.0112  0.0206  0.7567  
161     23.8184 1.0596  0.0054  0.0085  0.7557  
162     25.5950 0.6829  0.0108  0.0199  0.7573  
163     23.0899 1.2338  0.0048  0.0070  0.7558  
164     24.2328 1.0134  0.0060  0.0099  0.7556  
165     25.6634 0.9295  0.0113  0.0207  0.7550  
166     24.2851 0.9574  0.0060  0.0101  0.7576  
167     25.4816 0.3536  0.0102  0.0186  0.7559  
168     25.8783 0.9146  0.0130  0.0238  0.7549  
169     24.2135 1.0232  0.0059  0.0098  0.7556  
170     25.7212 0.2797  0.0117  0.0216  0.7560  
171     24.7893 0.9789  0.0072  0.0127  0.7555  
172     25.6454 0.4343  0.0112  0.0205  0.7568  
