#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      25.9350 0.8984  0.0136  0.0249  0.7443  
11      25.6689 0.2556  0.0114  0.0210  0.7460  
12      25.5362 0.9441  0.0105  0.0192  0.7446  
13      24.2909 0.7442  0.0060  0.0101  0.7453  
14      23.2716 1.2006  0.0049  0.0073  0.7452  
15      26.3223 0.8728  0.0180  0.0325  0.7440  
16      25.5984 0.6171  0.0109  0.0200  0.7466  
17      25.6457 0.2752  0.0113  0.0207  0.7461  
18      26.1420 0.9000  0.0156  0.0285  0.7441  
19      25.0751 0.9761  0.0082  0.0147  0.7448  
110     26.0760 0.9153  0.0148  0.0272  0.7442  
111     25.4529 0.7107  0.0101  0.0185  0.7468  
112     24.8863 0.9862  0.0075  0.0133  0.7449  
113     25.7981 0.9451  0.0122  0.0225  0.7444  
114     24.3970 1.0447  0.0062  0.0105  0.7451  
115     25.2153 0.9548  0.0088  0.0159  0.7448  
116     25.3266 0.8190  0.0093  0.0170  0.7469  
117     24.2601 1.0486  0.0060  0.0100  0.7451  
118     23.8059 1.0875  0.0053  0.0085  0.7452  
119     23.5601 1.0689  0.0051  0.0079  0.7470  
120     22.7204 1.3692  0.0046  0.0065  0.7453  
121     24.6312 0.9900  0.0068  0.0118  0.7450  
122     24.9316 0.9704  0.0077  0.0137  0.7449  
123     24.8313 0.9688  0.0074  0.0130  0.7449  
124     25.1308 0.9521  0.0084  0.0153  0.7448  
125     23.9089 1.0447  0.0054  0.0087  0.7470  
126     25.5062 0.7544  0.0102  0.0188  0.7468  
127     25.7285 0.2584  0.0117  0.0215  0.7457  
128     25.2021 0.9566  0.0087  0.0158  0.7448  
129     26.1070 0.8904  0.0153  0.0280  0.7442  
130     24.6293 0.9261  0.0068  0.0118  0.7469  
131     23.1063 1.2337  0.0048  0.0070  0.7453  
132     22.9183 1.2229  0.0047  0.0067  0.7471  
133     24.6744 0.5964  0.0069  0.0120  0.7454  
134     25.6769 0.2604  0.0114  0.0210  0.7460  
135     24.2617 0.7401  0.0060  0.0100  0.7453  
136     25.3736 0.8000  0.0095  0.0174  0.7468  
137     25.5968 0.5183  0.0109  0.0201  0.7465  
138     25.5870 0.6451  0.0108  0.0198  0.7466  
139     24.5869 1.0131  0.0067  0.0115  0.7450  
140     24.2691 0.7714  0.0060  0.0100  0.7453  
141     26.3494 0.8951  0.0182  0.0329  0.7439  
142     25.6778 0.2686  0.0114  0.0210  0.7460  
143     25.7242 0.2376  0.0117  0.0216  0.7456  
144     24.5467 1.0160  0.0066  0.0113  0.7450  
145     23.6172 1.0557  0.0051  0.0080  0.7470  
146     25.5330 0.6922  0.0105  0.0193  0.7467  
147     24.9864 0.8866  0.0079  0.0141  0.7469  
148     23.9194 1.0195  0.0055  0.0088  0.7470  
149     24.6841 0.9851  0.0069  0.0121  0.7450  
150     25.7500 0.2259  0.0119  0.0219  0.7454  
151     25.6503 0.2836  0.0113  0.0207  0.7461  
152     25.6480 0.3206  0.0112  0.0206  0.7461  
153     24.5139 1.0052  0.0065  0.0112  0.7450  
154     24.2495 0.7453  0.0060  0.0100  0.7454  
155     25.6515 0.3409  0.0112  0.0206  0.7462  
156     25.3491 0.9636  0.0094  0.0171  0.7447  
157     22.8184 1.3228  0.0046  0.0066  0.7453  
158     25.5874 0.6256  0.0108  0.0199  0.7466  
159     25.6191 0.4846  0.0110  0.0202  0.7464  
160     23.6720 1.0943  0.0052  0.0081  0.7452  
161     25.5985 0.4468  0.0110  0.0202  0.7464  
162     24.3924 1.0157  0.0062  0.0106  0.7451  
163     25.2953 0.9694  0.0091  0.0166  0.7447  
164     25.6412 0.3986  0.0111  0.0204  0.7463  
165     25.6648 0.8857  0.0115  0.0211  0.7445  
166     25.6514 0.2680  0.0113  0.0208  0.7460  
167     24.5837 0.9422  0.0067  0.0115  0.7469  
168     24.8933 0.9783  0.0075  0.0134  0.7449  
169     23.2979 1.1738  0.0049  0.0073  0.7452  
170     24.6010 0.9526  0.0067  0.0116  0.7469  
171     23.1244 1.2307  0.0048  0.0070  0.7453  
172     23.0976 1.2358  0.0048  0.0070  0.7453  
173     24.9575 0.9914  0.0077  0.0138  0.7449  
174     23.1110 1.2406  0.0048  0.0070  0.7453  
175     25.5456 0.9344  0.0106  0.0194  0.7446  
176     24.2476 0.9761  0.0060  0.0100  0.7470  
177     25.8834 0.9136  0.0131  0.0240  0.7444  
178     25.4056 0.9641  0.0097  0.0177  0.7447  
179     24.9517 0.9810  0.0077  0.0138  0.7449  
180     24.2027 0.9740  0.0059  0.0098  0.7470  
181     25.1314 0.9779  0.0084  0.0151  0.7448  
