#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      24.9060 1.0716  0.0076  0.0135  0.8385  
11      23.6449 1.1892  0.0052  0.0080  0.8391  
12      24.7989 1.1089  0.0072  0.0127  0.8386  
13      25.4765 0.8343  0.0101  0.0185  0.8411  
14      25.5263 0.7412  0.0104  0.0190  0.8407  
15      25.5273 0.7745  0.0104  0.0190  0.8408  
16      24.4761 1.0833  0.0064  0.0110  0.8388  
17      24.7962 1.0672  0.0073  0.0128  0.8386  
18      25.5330 0.5518  0.0105  0.0193  0.8397  
19      25.1145 1.0260  0.0084  0.0152  0.8384  
110     25.5388 0.5634  0.0105  0.0192  0.8400  
111     25.5224 0.7547  0.0104  0.0190  0.8408  
112     25.5516 0.5902  0.0105  0.0192  0.8401  
113     22.7911 1.3545  0.0046  0.0066  0.8393  
114     24.1702 1.1009  0.0058  0.0096  0.8414  
115     23.2947 1.1918  0.0049  0.0073  0.8415  
116     25.5251 0.7235  0.0104  0.0190  0.8407  
117     25.5465 0.5808  0.0105  0.0192  0.8401  
118     24.6163 1.0355  0.0068  0.0117  0.8414  
119     25.4652 0.8000  0.0102  0.0186  0.8411  
120     25.5264 0.7465  0.0104  0.0190  0.8407  
121     24.5053 1.0885  0.0065  0.0112  0.8388  
122     25.5489 0.5798  0.0106  0.0194  0.8395  
123     23.0676 1.2836  0.0047  0.0069  0.8392  
124     23.2144 1.2450  0.0048  0.0072  0.8392  
125     24.1961 1.1290  0.0059  0.0097  0.8389  
126     25.6000 1.0321  0.0109  0.0200  0.8380  
127     23.2792 1.2355  0.0049  0.0073  0.8392  
128     25.5319 0.6782  0.0104  0.0191  0.8406  
129     23.2087 1.2086  0.0048  0.0072  0.8415  
130     24.5707 1.0859  0.0066  0.0115  0.8387  
131     24.9081 1.0754  0.0076  0.0135  0.8385  
132     25.2795 1.0487  0.0091  0.0165  0.8383  
133     25.1703 1.0496  0.0086  0.0156  0.8384  
134     25.3814 0.9105  0.0096  0.0175  0.8412  
135     22.9287 1.3270  0.0047  0.0067  0.8392  
136     25.5150 0.6052  0.0104  0.0191  0.8404  
137     24.4842 1.0972  0.0064  0.0110  0.8388  
138     25.5395 0.5615  0.0105  0.0193  0.8399  
139     24.1878 1.0971  0.0059  0.0097  0.8414  
