#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
198     25.6311 0.5934  0.0110  0.0202  0.8754  
199     23.8156 1.0608  0.0054  0.0085  0.8751  
1100    25.5477 0.5896  0.0105  0.0192  0.8767  
1101    25.5523 0.6121  0.0105  0.0192  0.8768  
1102    24.4028 0.9943  0.0062  0.0106  0.8779  
1103    25.3945 0.7878  0.0097  0.0178  0.8777  
1104    25.5337 0.5247  0.0105  0.0193  0.8764  
1105    22.6475 1.3258  0.0046  0.0064  0.8754  
1106    25.5401 0.5756  0.0105  0.0192  0.8767  
1107    24.3552 1.0214  0.0062  0.0104  0.8749  
1108    24.1717 0.9994  0.0058  0.0097  0.8780  
1109    25.5603 0.5682  0.0107  0.0197  0.8758  
1110    25.2542 0.9639  0.0090  0.0163  0.8742  
1111    25.5443 0.6691  0.0105  0.0192  0.8771  
1112    25.5376 0.6884  0.0104  0.0191  0.8772  
1113    26.4164 0.8713  0.0193  0.0349  0.8725  
1114    25.4603 0.9801  0.0099  0.0182  0.8740  
1115    25.5720 0.5912  0.0107  0.0196  0.8759  
1116    24.4000 1.0290  0.0062  0.0106  0.8749  
1117    24.4951 1.0211  0.0064  0.0110  0.8748  
1118    23.2576 1.1105  0.0049  0.0073  0.8781  
1119    25.4423 0.9471  0.0099  0.0182  0.8740  
1120    25.2777 0.9663  0.0091  0.0165  0.8742  
1121    24.7037 0.9702  0.0070  0.0123  0.8746  
1122    24.9920 0.9973  0.0078  0.0140  0.8745  
1123    24.0250 1.0568  0.0056  0.0091  0.8751  
1124    24.3156 1.0244  0.0061  0.0102  0.8749  
1125    24.8454 0.9378  0.0074  0.0130  0.8778  
1126    25.4710 0.7376  0.0102  0.0186  0.8776  
1127    23.3361 1.1411  0.0049  0.0074  0.8752  
1128    25.3013 0.9691  0.0092  0.0167  0.8742  
1129    25.1068 0.9754  0.0083  0.0150  0.8744  
1130    24.9604 0.9785  0.0078  0.0139  0.8745  
1131    25.5367 0.7008  0.0104  0.0191  0.8772  
1132    25.3212 0.9652  0.0093  0.0169  0.8742  
1133    24.5080 1.0107  0.0065  0.0111  0.8748  
1134    24.8804 0.9870  0.0075  0.0133  0.8745  
1135    26.0386 0.8953  0.0146  0.0268  0.8732  
1136    24.3084 0.9846  0.0061  0.0102  0.8780  
1137    25.4603 0.8106  0.0100  0.0182  0.8777  
1138    26.3805 0.8895  0.0187  0.0338  0.8726  
1139    25.7232 0.9718  0.0116  0.0213  0.8737  
1140    25.4743 0.7741  0.0101  0.0185  0.8777  
1141    25.1452 0.9656  0.0085  0.0153  0.8743  
1142    22.8527 1.2672  0.0046  0.0066  0.8753  
1143    25.1708 0.9722  0.0086  0.0155  0.8743  
1144    24.2553 1.0029  0.0060  0.0100  0.8780  
1145    24.1456 1.0349  0.0058  0.0096  0.8750  
1146    26.1668 0.9231  0.0158  0.0288  0.8730  
1147    25.3948 0.9405  0.0097  0.0177  0.8741  
1148    24.0099 1.0321  0.0056  0.0091  0.8751  
1149    23.4448 1.1269  0.0050  0.0076  0.8752  
1150    24.9130 1.0070  0.0076  0.0134  0.8745  
1151    24.9914 0.9962  0.0078  0.0140  0.8745  
1152    24.0742 1.0450  0.0057  0.0093  0.8750  
1153    24.4563 1.0251  0.0064  0.0109  0.8749  
1154    25.4093 1.0067  0.0096  0.0175  0.8741  
1155    24.8927 0.9709  0.0076  0.0134  0.8745  
1156    24.8359 0.9239  0.0074  0.0130  0.8778  
1157    23.6417 1.0545  0.0052  0.0081  0.8780  
1158    25.3747 0.9434  0.0096  0.0175  0.8741  
1159    23.8252 1.0398  0.0054  0.0085  0.8780  
1160    24.0750 1.0772  0.0057  0.0093  0.8750  
1161    24.2294 0.9936  0.0059  0.0099  0.8780  
1162    23.7861 1.0712  0.0053  0.0084  0.8751  
1163    24.9956 1.0037  0.0078  0.0140  0.8745  
