#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      25.5362 0.3929  0.0106  0.0194  0.7605  
11      25.5461 0.3853  0.0106  0.0194  0.7604  
12      24.9302 0.9852  0.0077  0.0137  0.7591  
13      25.5918 0.3096  0.0109  0.0200  0.7600  
14      25.5963 0.3056  0.0110  0.0201  0.7598  
15      25.6243 0.3554  0.0110  0.0201  0.7598  
16      24.8015 0.9178  0.0073  0.0128  0.7612  
17      25.5959 0.3326  0.0108  0.0199  0.7601  
18      25.5686 0.2647  0.0109  0.0200  0.7600  
19      25.6157 0.3504  0.0109  0.0200  0.7600  
110     25.5743 0.2717  0.0109  0.0200  0.7600  
111     24.2461 1.0535  0.0060  0.0099  0.7594  
112     25.0170 0.5231  0.0080  0.0143  0.7597  
113     25.5469 0.9226  0.0106  0.0195  0.7587  
114     24.7641 0.9306  0.0071  0.0125  0.7612  
115     24.5846 0.6587  0.0067  0.0115  0.7596  
116     22.9786 1.2522  0.0047  0.0068  0.7596  
117     23.2097 1.1957  0.0048  0.0072  0.7595  
118     25.7646 0.9447  0.0120  0.0221  0.7586  
119     26.1298 0.8743  0.0157  0.0287  0.7582  
120     25.3343 0.9370  0.0094  0.0172  0.7589  
121     24.6872 1.0104  0.0069  0.0121  0.7592  
122     25.5977 0.3169  0.0109  0.0200  0.7600  
123     25.5958 0.3118  0.0109  0.0200  0.7600  
124     24.0038 1.0667  0.0056  0.0091  0.7594  
125     26.1130 0.8989  0.0154  0.0281  0.7583  
126     24.5673 1.0080  0.0066  0.0114  0.7593  
127     24.7768 0.8970  0.0072  0.0127  0.7612  
128     24.4402 1.0373  0.0063  0.0108  0.7593  
129     25.5422 0.6654  0.0104  0.0191  0.7609  
130     25.6088 0.3290  0.0109  0.0201  0.7598  
131     24.3340 0.7151  0.0061  0.0103  0.7596  
132     25.4800 0.9610  0.0101  0.0185  0.7588  
133     25.1906 0.9378  0.0088  0.0159  0.7590  
134     25.6057 0.3245  0.0109  0.0201  0.7599  
135     25.5556 0.3563  0.0107  0.0195  0.7604  
136     25.5274 0.4727  0.0105  0.0193  0.7606  
137     25.0623 0.9665  0.0082  0.0147  0.7590  
138     24.4855 0.9655  0.0064  0.0110  0.7613  
